config,seed,n_features,n_engineered,accuracy,train_time
Raw only,42,40,0,0.6868244914967315,37.139095067977905
Raw only,123,40,0,0.6802093913586998,37.72732210159302
Raw only,456,40,0,0.6871891033153632,37.06868100166321
Raw + Price,42,46,6,0.7065135297028413,41.70716691017151
Raw + Price,123,46,6,0.7030757611271714,42.35221982002258
Raw + Price,456,46,6,0.7016954449566373,41.0208899974823
Raw + Volume,42,48,8,0.6928666302054848,40.4616641998291
Raw + Volume,123,48,8,0.6983878948876214,41.11452078819275
Raw + Volume,456,48,8,0.700783915410058,40.668280839920044
Raw + OI,42,46,6,0.6837252910383623,39.89566421508789
Raw + OI,123,46,6,0.6841680339609866,40.60765314102173
Raw + OI,456,46,6,0.6863296611714457,38.88710403442383
Raw + OFI,42,46,6,0.6935958538427481,38.046348094940186
Raw + OFI,123,46,6,0.6978930645623356,37.785491943359375
Raw + OFI,456,46,6,0.6932833294267782,37.290595054626465
Raw + Depth,42,46,6,0.6987004193035914,38.18732309341431
Raw + Depth,123,46,6,0.7032320233351564,38.5020489692688
Raw + Depth,456,46,6,0.6994296429408547,38.25656771659851
Raw + Impact,42,46,6,0.7113837018517072,39.10894298553467
Raw + Impact,123,46,6,0.7086751569133005,39.116939067840576
Raw + Impact,456,46,6,0.7063833111961872,39.48349714279175
Raw + All,42,78,38,0.7340938094121937,58.57985019683838
Raw + All,123,78,38,0.7311769148631404,58.75723314285278
Raw + All,456,78,38,0.7377138838971795,59.07137703895569
